Time,Pressure,Velocity
0,0.3301958987,3.3338040438
0.1,0.4168124765,3.4942511735
0.2,0.4199741904,3.3318186404
0.3,0.3999769621,3.4085712565
0.4,0.3169812118,3.4545081834
0.5,0.4054077216,3.3519612524
0.6,0.3371851687,3.3642938982
0.7,0.382838647,3.4543539478
0.8,0.3801052262,3.3437793355
0.9,0.3977826942,3.4440860511
1,0.443507798,3.4928140727
1.1,0.4720666843,3.4535783909
1.2,0.3358170144,3.4034250161
1.3,0.456112626,3.3339432065
1.4,0.3049156874,3.489547021
1.5,0.3253959296,3.444929609
1.6,0.4975764383,3.2986570456
1.7,0.4490807824,3.462904467
1.8,0.4550250256,3.2995482411
1.9,0.4621653188,3.3183618565
2,0.4150395444,3.4281186669
2.1,0.4658928536,3.4409782783
2.2,0.315028259,3.3483666398
2.3,0.3331350024,3.3546070275
2.4,0.3233213783,3.4520355336
2.5,0.3558313471,3.3282919806
2.6,0.3416307801,3.3301428461
2.7,0.3723347955,3.4426342946
2.8,0.5007305806,3.4602381571
2.9,0.3297186657,3.3528532623
3,0.4595264414,3.3006331728
3.1,0.3291531727,3.3566324756
3.2,0.3572903992,3.3810220598
3.3,0.406259343,3.4303815242
3.4,0.4810322711,3.4587080233
3.5,0.4575413236,3.3451688053
3.6,0.4969042561,3.3905372445
3.7,0.3194688803,3.3631406513
3.8,0.4865212982,3.3706099321
3.9,0.3541417437,3.3646170199
4,0.4790020519,3.4528077654
4.1,0.4097893374,3.3994406498
4.2,0.5190777686,3.4220160089
4.3,0.3520860929,3.3299352512
4.4,0.4579296429,3.2958890771
4.5,0.4927083143,3.336221616
4.6,0.3521294512,3.4585504677
4.7,0.4849063093,3.3532872958
4.8,0.4017033728,3.4284135169
4.9,0.3786548571,3.3313316614
5,0.4579963272,3.3832224289
5.1,0.4595545255,3.4133673863
5.2,0.457888411,3.3681513746
5.3,0.4357921244,3.4611317584
5.4,0.3671121605,3.4155559521
5.5,0.5124545759,3.4435188654
5.6,0.3582031451,3.2696983827
5.7,0.4417886804,3.285811134
5.8,0.418331507,3.4573031316
5.9,0.3878851461,3.4077309123
6,0.4534186309,3.2972311987
6.1,0.4849541065,3.3683661687
6.2,0.3839811902,3.4076273183
6.3,0.3585842407,3.383589391
6.4,0.3824551819,3.3400535267
6.5,0.4322180106,3.3351955876
